tree_id,username,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
6gzcnf,joijoijawer,0.0,9.79488534646365e-06,-1.8984078223188065e-05,3.4412899484920782e-06,4.220278086271797e-06,5.926755998676624e-06,-1.5085186253762194e-06,0.00028731202209421184,6.355268200934505e-07,-2.2187511603990602e-07,-2.229404554162272e-07,-2.2284064947545548e-07,-2.1112063540497813e-07,-2.2255068098221932e-07,-2.1070690893494143e-07,-5.006726866302394e-05,-3.0871782595794807e-07,0.00012843227066753777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,ACrusaderA,0.0,-2.5065868781561792e-06,4.987788420390913e-06,-9.088694154540852e-07,-1.1112912066743252e-06,-1.5546500881920888e-06,3.9542348451178616e-07,-7.211697760911474e-05,-2.1255095487359066e-07,5.6649652157574726e-08,6.434298436138702e-08,6.431417950202362e-08,6.033271795244812e-08,6.423142529877702e-08,6.021482062669033e-08,9.503888556169847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,xXSJADOo,0.0,3.33376025579451e-07,-4.046868252996128e-07,6.461223956970988e-08,7.868379566270521e-08,1.0080058784156543e-07,-7.860350514704404e-09,-1.5424487671285558e-08,1.9191167918035235e-07,-1.0751869660803149e-07,2.459305297493797e-09,2.4582072293661284e-09,-5.408958668446009e-08,2.5024272520764702e-09,-5.403729053446895e-08,4.672973939753545e-08,-3.167402774709889e-09,1.0230962372826797e-07,6.461758651747202e-05,-4.725147296760493e-05,0.00012522186344988935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,RiPont,1.0,3.570653225476491e-08,-1.2156302039207414e-07,3.4324022726936548e-09,8.30873919594457e-09,4.1503650019797694e-08,-2.4435508661536275e-08,1.9904234560396653e-06,4.515615543118149e-08,4.2492786472227386e-08,-1.4525610419865492e-07,-1.4519108092890661e-07,-4.384483392903879e-08,-1.4508774596336886e-07,-4.367350502365925e-08,-2.5181651831479816e-07,-2.0085337572502888e-07,1.9608643270559907e-07,-0.0001295171423461159,9.45957579609006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,5iMbA,0.0,-1.1561043462614329e-07,2.1551766719229807e-07,-2.2391382331637236e-08,-3.11489027072559e-08,-6.619140237800456e-08,2.4128909447560306e-08,-1.47622817467047e-06,-7.051414038985901e-08,-5.3391475295066844e-09,1.1193674572625487e-07,1.1188663699784737e-07,4.890828918835679e-08,1.1178981297708905e-07,4.8762514285212764e-08,1.778483884023588e-07,1.512866199576974e-07,-1.677849266225746e-07,0.00011349515563408515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,walrussingsatmidnite,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,infinitepaths,,0.00010260377380868891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,FetusFondler,,-1.7344865443122288e-06,0.00017805427128260928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,nickburgess,,1.852770721815475e-06,-0.00017810426472619656,0.00010221840280792664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,thingscouldbeworse,,1.9201488259086885e-06,-0.00017813459201185096,5.262834791040218e-08,0.00012517626380383805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,marojelly,,2.1453740621047114e-06,-0.00017830846666214817,8.758321574242105e-08,1.0787347496220686e-07,0.0001770393911432315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,howdoireachthese,,-2.1739899277979e-06,0.00017829620306055574,-1.0220141684707697e-07,-1.2858323800931466e-07,-0.00017700444759367526,8.85320850468551e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,TriggerTX,,1.3434963912586765e-05,-2.631820031242806e-05,4.822106726098828e-06,5.917476427773042e-06,8.322046947034668e-06,-2.158342866214583e-06,0.0004314609753190183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,theLaugher,,-7.891220453776245e-07,1.0772633714633095e-06,-1.3669033562835677e-07,-1.685233686104863e-07,-2.547884063717161e-07,3.761727745602649e-08,-3.0911818900762807e-06,-0.00011209794362238636,6.694253253563648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,FlashVortex0,,-9.746479888103797e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.467557180465972e-07,-3.611974785397621e-07,5.873020485708866e-08,-3.3750070654696086e-06,-0.0001122055258345536,1.5542866019661135e-07,0.00012520655493007736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,adurango,,-9.746512349571342e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.4675394419108986e-07,-3.611968514346769e-07,5.873145889174067e-08,-3.3750068081524727e-06,-0.0001122055258345536,1.554319771402123e-07,5.6061554084049855e-08,0.00012520654251609224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,VBassmeister,,-8.447361136311518e-07,1.1959410904704883e-06,-1.5698190310566759e-07,-1.9336710191723304e-07,-2.897332836338153e-07,4.562569518399363e-08,-3.1770328289485845e-06,-0.0001121448156720959,1.0113308432975444e-07,7.866489733812226e-08,7.862968004663013e-08,8.855989767479426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,panic_bread,,-9.746512349571342e-07,1.460798441667124e-06,-2.0078689396184235e-07,-2.4675483111884355e-07,-3.611982584441442e-07,5.8727265289903924e-08,-3.3750064170425517e-06,-0.00011220552682525471,1.5543418086948647e-07,5.606239723134344e-08,5.6037296588358187e-08,1.1111896108446877e-07,0.0001252064816805849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
