,username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,Sheexthro,-0.9999999341617799,9.071909143891756e-05,2.6823580834215696e-07,0.0003023181028397856,-4.941421193758723e-06,5.966907132167018e-05,-5.16537127046881e-06,2.3896846613461627e-05,-7.81436296436578e-06,-0.00015731235160247156,5.5311651126470185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Octobers_second_one,-0.9999999797992521,9.99573897355724e-05,-2.4162894661361996e-05,2.8362885647080514e-07,5.104602797044754e-06,-7.141580919217825e-06,5.253492830546728e-06,-5.432070092111291e-06,9.477568956155849e-06,-9.606007493639997e-06,-2.611364917500807e-07,0.00017178403908157236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Gladix,0.9999999419012389,-9.168140257916562e-05,1.0090038006039793e-05,-0.0002725312019474531,6.942031010536681e-07,-6.402747913905721e-05,1.0845071984187881e-06,-1.4997538402952052e-05,-7.479486946260769e-06,0.00012024465300156194,-8.194585406303021e-06,3.4979623850701344e-06,0.0001204025157037718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,EmilyRose607,0.9999999292016013,-0.00010109446145853466,2.88944121042491e-05,-0.0002033136703448191,-5.335563057965437e-06,-8.325032426039575e-05,-4.481538130478246e-06,5.054709920228156e-06,-3.5874649830159466e-05,0.00013272702260952026,5.874311446383668e-06,1.6704868245139472e-05,-2.5789428387086096e-05,0.0002496368157994752,0.0,0.0,0.0,0.0,0.0,0.0
14,gorkt,0.999999872929059,-0.0001224119217401585,3.0191758499895352e-05,-0.00039532988756590243,-5.388909981022257e-06,-2.4029670271302355e-05,-4.954010476137295e-06,1.060684695062831e-05,-2.6776557430371104e-05,0.0001354511529469448,-1.984091522335349e-05,1.7378502477372968e-05,-1.7747870212145644e-05,-4.262061843826846e-05,0.00024356772162583803,0.0,0.0,0.0,0.0,0.0
15,jzpenny,-0.9999999839754257,-1.830776953460895e-05,2.5902100151932002e-05,5.992569235268705e-06,4.136969476968277e-06,-1.2171301480221955e-06,5.071802853847822e-06,4.614350144427574e-05,-1.3524181486882757e-05,4.42893369705769e-05,-1.2513674130336667e-05,3.776380952077704e-05,-1.1635250120049529e-05,-4.648586459369549e-05,-6.266768710573971e-05,0.00013741507409215434,0.0,0.0,0.0,0.0
16,timmytissue,0.9999999665001239,1.4571982866318798e-05,-2.5990984378984186e-05,-5.7828501625802485e-06,-5.132992821994085e-06,1.8179996433322962e-06,-6.101980136470483e-06,-5.1895965625033096e-05,2.9382807853288965e-06,-3.862596139306533e-05,2.5287909432547417e-05,-3.6799911566715975e-05,6.355867271742809e-06,4.5042361641259196e-05,6.319571297350663e-05,-0.00013000174165431072,0.0001919913667568927,0.0,0.0,0.0
17,leyxk,0.9999999540035358,1.2457517375323255e-05,-3.0553116747315114e-05,-4.902800145628246e-06,-1.438481896988065e-06,-7.410576565502288e-06,-2.1094115429593896e-06,-5.743174898557266e-05,3.2769170319797583e-06,-4.323993400385898e-05,3.650965233667362e-05,-3.384881786420048e-05,3.9873767339392735e-06,4.967166116321968e-05,7.216570942280029e-05,-8.942960474589767e-05,7.750416023693145e-06,0.00025963907967972797,0.0,0.0
18,fadadapple,-0.999999985371696,6.601048351531183e-07,-4.072083304665931e-06,3.007718715324172e-06,5.291629010848167e-06,-2.7544782905120597e-06,5.432427730007111e-06,2.354122367835088e-06,1.11604935249204e-05,-3.0471435042117835e-06,-3.4447632295521668e-06,2.8993881871303975e-06,5.415442263212644e-07,1.913403148385961e-06,2.036528458737665e-06,2.4113299172810234e-05,-1.635735176820453e-06,-2.817340212747183e-06,0.00016853967333315444,0.0
19,DreadnaughtZero,-0.9999999939076919,4.950143147696739e-07,-9.243303696059884e-07,2.043148158530686e-06,2.0834923072352894e-06,7.858874434256325e-08,2.1213541723320025e-06,3.137526643906982e-06,3.6799056575653553e-06,8.941034607687228e-07,-2.9955549454452243e-06,1.8438463787634756e-06,-3.2355778112171156e-07,-1.357576454694167e-06,-2.345489568074829e-06,1.8596317314036052e-06,-3.5065062368945757e-07,5.235649011410697e-07,1.9844204061715387e-06,0.00011008494114476287
