username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
huadpe,-0.9999999863691785,-5.321167228317905e-09,-5.461391163443468e-07,5.246581641976019e-07,-5.287473322261081e-08,-0.00012493870328533397,1.0752985115348776e-07,-4.3646030369780176e-08,9.535072282790485e-09,-1.0071166840909357e-08,0.00010794152624713742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icecoldbath,-0.9999999788847077,3.5858972149975936e-09,3.6803901092287714e-07,1.0345153447304526e-06,-3.0115638279631367e-05,-9.233776362416376e-07,1.2123827811993172e-06,-9.068497243099434e-09,5.886860363213022e-07,-5.2490209833839575e-05,2.7074597479012776e-07,0.00019637836512769122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VortexMagus,0.9999995815675523,3.748308410336161e-08,3.8470841281687374e-06,1.0768524555622838e-06,-0.00023910733314086774,-1.5320570620478142e-06,3.414272654246073e-06,1.876677456351607e-06,4.334506064028455e-06,-0.0003887648872999014,2.634680175521867e-07,0.0004038716330737963,0.0006821947119844061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earl_Harbinger,-0.9999999366563782,-9.686854475668793e-09,-9.942121838383127e-07,-4.501261304471386e-07,9.476507355311373e-05,5.672403598479292e-07,-1.2690147576783848e-06,-7.846932412562277e-07,-1.5415687026620153e-06,0.00015512049723592384,-8.168571027134575e-08,-0.00016288550980693387,-0.0002471092355567686,7.774101813758063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meesh_ca,0.9999999672020601,8.305427055961985e-10,8.524186807800303e-08,1.2122089124865287e-07,-0.00010156095278356266,-4.352891155252203e-07,7.502573272315229e-07,5.426956030628866e-07,1.0197402013674816e-06,-0.0001697667964862949,2.385289800806834e-08,4.1848212463034196e-05,6.258339653543588e-05,-2.014447732155148e-05,0.00014277472734186593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EighthScofflaw,0.9999999152588799,7.08119625356236e-09,7.267795928288221e-07,4.362036724935649e-07,-9.695105102551834e-05,-5.948312960045365e-07,1.4454991187597383e-06,1.0847435673909052e-06,1.9321971860134387e-06,-0.00015699910270097184,5.125323447199575e-08,0.00016396733498561845,0.00024830267141532665,-7.818815053463755e-05,5.265550389214279e-07,0.00020192267427252025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zardeh,0.9999999343734808,1.2529136225335061e-08,1.2859315424938146e-06,2.1349736971809445e-07,-9.50018510055615e-05,-1.7958839174937695e-07,1.0066251009947352e-06,8.929142901199713e-07,1.4622227295947234e-06,-0.00015527168184090154,-2.708913126080156e-09,0.00016263085016567086,0.00024772366560265636,-7.737136368718669e-05,1.6994292645579776e-08,1.3924009078631077e-07,6.565479016279333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vund3rkind,0.9999999689786255,3.571570000097489e-10,3.665688365144792e-08,-2.016814184193657e-07,-0.00016448531922060174,-1.4574018836888266e-07,3.4537671621317017e-07,4.168446495086042e-07,6.54105398454191e-07,-0.00012476730342171591,-2.8333423431768995e-08,3.074214722480842e-07,1.390432481779155e-06,1.415665077932604e-07,4.0895805498905243e-07,4.2868439560562533e-07,2.2282148396041435e-07,0.00013934566505446148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmv_lawyer,-0.9999999959135469,-3.4587085201424723e-09,-3.5498527483340243e-07,2.420774816500001e-07,-5.014554327317586e-07,-3.971265623162243e-07,3.3654534662003864e-07,-3.759134105428906e-08,2.0646533296486717e-07,-4.819313775996189e-07,9.034762150340904e-08,4.1957580280061355e-07,3.295238109690482e-07,2.5869345327563646e-07,1.3042824264537956e-07,1.9474064003095908e-07,-3.809774064600132e-07,1.1685998306728218e-07,9.039551490382245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GermanEgo,-0.9999999797164698,-1.0810114726240168e-09,-1.1094983936133779e-07,3.046253205455224e-07,9.292937045289036e-07,-3.3086138365213445e-07,2.3431974080892687e-07,-2.0566733702411541e-07,-2.137934330171278e-08,2.5163168692382174e-07,1.0629835297725803e-07,8.512544083727959e-07,2.367257299491743e-08,6.69251948959795e-07,-1.8809684495744148e-07,-2.913928531148979e-07,-2.208159570157077e-07,-2.997614334929303e-07,1.739154671307602e-07,0.0002014059264676292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
