username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
GoyBeorge,-0.9987604981925763,0.049768637122095685,7.722103025079538e-05,5.868755936568766e-06,5.712767680135353e-06,-2.5319448076602487e-05,1.2787431689947164e-05,-0.0007328903994527911,4.5567062433282856e-08,-9.921323733442617e-07,-5.808356167444021e-09,3.164262345786384e-07,-4.058083660779437e-07,1.2564488262237294e-06,-1.688553507817066e-07,-1.6075246013046683e-07,-3.1046612183867065e-08,7.773766795918875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr_indigo,0.26488713873102177,-0.02050011152734661,-0.030793610399098652,-0.03283338633257372,-0.03196055788923672,-0.9624794324673234,0.00015759189041468158,-4.72053214615009e-06,1.1480696603092096e-05,3.5013590866355286e-05,1.2842724310933019e-05,7.85263218563117e-06,-3.2172757082555355e-06,5.874801417727748e-05,1.3277476049191109e-05,1.2640490401987274e-05,9.679887679738092e-06,1.1630472482459069e-07,0.00032549387047441525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MenShouldntHaveCats,-0.9540859276929998,0.0063703704873478845,0.009559777010478275,0.010196018749720901,0.009924972225998316,0.2989742337417051,-9.339787009542857e-05,1.448796016227116e-06,1.0138219101056343e-06,2.583892568611878e-06,1.1085915949230123e-06,9.06813819770252e-07,-1.4679227575874987e-06,1.8470254539709579e-06,1.1389166266271898e-06,1.084275751508773e-06,9.404199573130105e-07,1.220938944381544e-07,-3.652765189197714e-05,7.231774322857107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial_Cinnamon,0.9809466894321645,-0.004135327189523452,-0.006196394799350338,-0.006612142745225463,-0.006436368418127116,-0.19391476294013618,6.0487840686977205e-05,-5.577065953838842e-06,-1.3521243790867863e-06,1.0077760494554487e-06,-1.2549261994147373e-06,-2.1587903721427198e-06,2.489883009128965e-06,-6.537590135716559e-06,-1.0316906294029444e-06,-9.821968199008455e-07,-9.460000276069537e-07,-2.4322603118529983e-07,2.2228660295206947e-05,-4.576941140116791e-05,8.577027528107922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aarr44,-0.26489420038696765,0.020496208052992727,0.03079643268003547,0.03283277500282141,0.03195996280956438,0.9624775127965727,-0.00015653753312662227,2.4437095877250608e-06,-1.0034148281967979e-05,-3.357361847492986e-05,-1.1373746587327101e-05,-9.933842779961132e-06,2.788014000350939e-06,-4.538931090029035e-05,-1.1794342896057027e-05,-1.1228511109008767e-05,-8.75184177933334e-06,2.824114332492292e-07,-0.0003007791763792907,5.239091963833905e-06,1.4356346272010551e-06,0.00018958216928277648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samsonkeane,-0.7952557571594355,0.012883453047415632,0.019354842330557488,0.020639059405112035,0.020090399637635186,0.6051429826966067,-9.876870937379427e-05,9.904485079325818e-06,-4.710214778047954e-06,-5.754844877536717e-06,-4.836762887608182e-06,-1.2986108325412573e-06,-4.0084527069091645e-06,-1.4327041914027345e-05,-5.428594593674767e-06,-5.168155755367139e-06,-3.828197183902099e-06,1.7581002836290279e-06,-0.00016449265670974588,9.731158307800329e-06,-3.6002908507124264e-06,1.353694467388417e-05,0.00015939038335178709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weepycreepy,-0.9962315243295874,0.0018485949416750655,0.0027620718532446586,0.0029515604450845072,0.0028730974502682405,0.08657210459681393,-2.758686865767366e-05,7.969657877116317e-06,5.890439068535669e-07,-1.6563040823925442e-06,4.855916343714841e-07,2.1086317260492293e-06,-2.2723359837720113e-06,6.725289630898012e-06,-1.0794106486561156e-07,-1.0275770047250381e-07,2.7537551269584693e-07,1.3924763317493133e-07,-9.542684734213573e-06,2.0730765969680786e-05,-3.6622760332575366e-05,-8.150301440311108e-07,6.59613902494784e-07,7.175958165493068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noodledense,0.9941196991957588,-0.002309372638727529,-0.0034470475742551035,-0.00368270358975289,-0.003584804199954607,-0.10808503313123563,3.449198940281393e-05,-1.1051740506568377e-05,-1.0134410340221883e-06,1.1515911969070747e-05,-4.003857502036304e-07,-3.112360833979301e-06,4.8903565795270814e-06,-9.747784036562126e-06,4.294078371331437e-07,4.0880633334533444e-07,-1.3474770003088124e-07,-8.936702004950229e-07,9.36219903454799e-06,-2.6179514335842947e-05,4.520043539416726e-05,-8.294843023142386e-07,-3.187866632750076e-06,-8.627259549863282e-05,9.472469559493381e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sornos,-0.9999999712135054,-3.64913468554755e-05,-1.7778597199780298e-05,-1.1022434387464111e-05,-1.07294193350705e-05,7.272728477622294e-05,3.8120899114869747e-06,7.208142881003686e-06,1.051492459138871e-05,-0.00020179189236324715,2.210230179996683e-08,1.960120401346773e-06,-1.8013160049156043e-06,3.2549541792216944e-06,-2.6190551005105206e-07,-2.4933964978938333e-07,-5.962594392928113e-08,2.087397953553527e-07,3.2423470104699906e-06,-8.73559384123254e-08,-1.2892276319020025e-06,-7.285638484652496e-07,6.172638789703762e-06,1.0243728640830437e-06,7.223564948766099e-07,9.711927043181242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhilliesJawn,-0.9431122716961113,0.0003298199235273365,0.008976774477277513,0.021317632099375622,0.02075093328779094,0.21162518940363226,0.026125285389626357,-0.005426428503600616,-0.004205754595149064,0.013738162083752982,-0.0033711032303440193,0.0004809058376052768,0.012476383807602938,0.019299479836617315,-0.004363135743091066,-0.004153812321839281,-0.0036262110318467764,-0.003591244968947047,0.03505956945681047,-0.0038274121742308807,0.004239597109057634,-0.020017750488214844,0.010230226008040667,-0.002566209114993323,0.009118228000719148,0.013032643019435061,0.24746935376034143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
