username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Huntingmoa,-0.9999999970282325,-2.5524506382083214e-06,9.813726953173955e-06,-1.0282323647094136e-05,1.6574726542832674e-06,1.724080770771185e-06,3.4522905887821114e-06,2.1708495549888452e-07,-2.525923857274862e-05,-1.4022135184643098e-06,2.379548993789704e-06,7.121546410945307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PolkaDottedFuck,-0.9999999682757252,-6.3491875768657456e-06,6.666957326550637e-06,-1.3630982732389458e-05,-5.7831924878548285e-06,-6.015601096495027e-06,5.189184853693603e-06,2.3751491683883625e-06,1.0946782605417904e-05,1.2885555240630574e-06,2.619544151980875e-06,3.2277694825432605e-06,0.0002508724973706381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cupcakesarethedevil,0.9999999405438945,-1.695129010893626e-05,-4.0970422367753344e-05,9.671851595460241e-05,4.076339525776646e-06,4.240154592693006e-06,-7.954583012523885e-06,-0.00012434463534128346,-1.9105866157292926e-06,-2.018944552145961e-05,-4.639603248450383e-06,-1.0592843278351304e-05,4.702063902354789e-06,0.00030243222024210704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gremy0,0.999999982625122,4.838164425896604e-06,-9.435900547935838e-05,1.6953942626185768e-05,2.636526139424764e-06,2.7424805564553024e-06,-3.4407086397424604e-06,-8.857012591731243e-07,-1.7201673551417078e-05,1.2009031001284943e-05,-4.404237528958934e-06,3.229852480957981e-06,6.494845365607655e-06,-2.901842659642783e-07,0.00015810118217405295,0.0,0.0,0.0,0.0,0.0,0.0
PaulSharke,-0.9999999883930104,-1.8522823304805302e-05,1.871297586910604e-05,-2.6435100638688094e-05,-2.701373373774588e-06,-2.809934512216123e-06,4.321607913546249e-06,5.049943979650834e-07,2.5637910840545462e-05,-2.249749190833228e-05,7.3630634949530186e-06,-4.921492529354717e-06,-8.905993257185166e-06,-4.4095628222519955e-07,2.502242624152627e-05,0.0001408554641820808,0.0,0.0,0.0,0.0,0.0
renoops,-0.9999999954946515,-1.0775535387014412e-05,9.09432462200268e-06,-1.1248720037791297e-05,-1.7128442079481213e-06,-1.7816785181772046e-06,1.9528609231458483e-06,-1.7321620617610532e-06,1.3597558703648215e-05,-1.2340720620340213e-05,2.975524928423912e-06,-1.970674178290855e-06,-5.485063609669653e-06,-4.977521158497925e-07,1.3252512530633094e-05,-2.4836276478543423e-05,8.66007798492398e-05,0.0,0.0,0.0,0.0
RooRooNumber2,-0.9999999518481175,1.168567907332812e-05,3.959589787538198e-07,-1.3095167386444184e-05,4.792110939166656e-06,4.9846897857436115e-06,6.222621635419929e-06,1.128004536950012e-05,-7.867039474320015e-06,2.3940552964686004e-05,5.481298040431108e-06,1.0123496914251848e-05,3.0333587060010736e-06,-4.34054629895182e-06,-8.779456326499367e-06,1.7929362684792783e-05,1.729306744653421e-05,0.00030706447697651505,0.0,0.0,0.0
NovelTie,-0.9999999921930849,-1.826264330433272e-05,1.5168892655837172e-05,-2.1274251454169054e-05,-6.969768045682153e-06,-7.2498612310566135e-06,3.3719999887333302e-06,-5.108976977573827e-07,2.388692356789407e-05,-2.1210483982550792e-05,1.860113284357813e-06,-3.5789066987131315e-06,-1.218665879399904e-05,4.585347327415116e-06,2.452133853261296e-05,-4.2267865214039425e-05,-4.942985515739835e-05,8.091415772497132e-06,9.155282294351298e-05,0.0,0.0
jbt2003,-0.9999999386726612,2.5085482621809543e-05,4.341279169070526e-05,-6.405831263301137e-05,0.00010235277817764106,0.00010646599927367339,9.368732067403636e-06,1.353987394165826e-05,-8.389278147548287e-06,3.8128539170044105e-06,8.678925716494418e-05,-1.840521481484492e-05,6.175567263532086e-05,-0.00011635278035091721,-2.91529537448378e-05,1.579506552360521e-05,1.2587741910903411e-05,8.152138692145114e-05,5.0425652133624356e-05,0.00024124875684224687,0.0
Fuckn_hipsters,0.9999999310731216,-1.4591970037043312e-05,-5.9417414860645034e-05,9.007018032920636e-05,-0.0001142222956000612,-0.00011881251400156593,-1.3157741977836786e-05,-1.9697373686467246e-05,-9.693267001576768e-06,9.776579984661866e-06,-9.899563772316836e-05,2.3456962211972518e-05,-6.082999916123108e-05,0.000130297671843754,1.6123549726340195e-05,1.3454608641889426e-05,2.1169934930969005e-05,-9.752542279316357e-05,2.114238999774235e-05,-0.00016496420691025567,0.0001702799552733202
