username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
hacksoncode,-0.9999999991012031,3.686753609103533e-07,5.694774987296595e-07,3.5574956942864035e-06,5.828846133553146e-07,7.209256847853487e-06,-4.0083406892468343e-07,-7.828266775171086e-07,-1.372815566117214e-07,-5.495690820046445e-07,4.1606134140731943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taosaur,-0.9999999909530745,2.437380452270122e-06,3.0934817318152807e-06,8.149448280238589e-06,1.1542837289276838e-06,-1.581689623058735e-07,-2.4431358160125444e-06,4.922088876813701e-07,2.6459724015925664e-06,1.2439881648666264e-06,1.880928842155546e-06,0.00013413527378188046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darwin2500,-0.9999999909530745,2.437380452270122e-06,3.0934794930786984e-06,8.149447710010586e-06,1.1542837289276838e-06,-1.5817032843412047e-07,-2.4431358160125444e-06,4.922058752395879e-07,2.6459724015925664e-06,1.2439853877012934e-06,1.88092617374367e-06,2.2292994457475697e-06,0.00013411674799307206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mtl325,-0.9999999909530747,2.437380452270122e-06,3.0934794930786984e-06,8.149447139782583e-06,1.1542862427157737e-06,-1.5817169456236746e-07,-2.4431341860823275e-06,4.92207381460479e-07,2.645970153507599e-06,1.24398677628396e-06,1.8809235053317937e-06,2.229297790369393e-06,2.1925499350781864e-06,0.00013409882360958155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h20blunt,-0.9999999950811564,6.481995486504882e-07,2.3276994965068383e-06,4.50693330147803e-06,-1.2785628983063293e-07,7.003222850158546e-06,-1.5689895711984455e-06,-2.095216520815182e-06,1.5108198820459148e-06,-3.5514667995278117e-07,-3.25602285541742e-07,1.9264182115392775e-06,1.894663219335534e-06,1.8639384097495324e-06,9.870325867692337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John02904,-0.99999998373239,1.4292240554846699e-05,1.1762310809212942e-06,5.7790528421933964e-05,2.1006294208434507e-06,6.894510872487933e-05,-1.4400845840611481e-05,-9.726621731738729e-06,-6.804437260446701e-06,2.105555109044817e-06,-1.5024799936122598e-05,-3.4226706778075253e-06,-3.3662518397568745e-06,-3.3116604084052836e-06,-6.552948728260427e-06,0.00015354659855618182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagkiller,0.9999999776700664,-1.9198157722722163e-05,2.315007245534085e-07,-7.744816283677794e-05,-1.9287541877698424e-06,-8.9971997665594e-05,2.151747917300261e-05,1.2168368185691268e-05,1.0737809239824801e-05,-2.960694143845326e-06,2.215491620977408e-05,2.4228683370766424e-06,2.382928993060943e-06,2.344284356359118e-06,1.0505897208183692e-05,-0.0001282288257783965,0.00011134773377511087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKachur,-0.9999999929553605,-4.85612257447688e-06,7.979371293081088e-06,3.837759202841859e-06,-6.710811198697406e-06,1.716940878586837e-05,-1.6143842865402786e-06,-1.2505459159726008e-05,6.13253299755448e-06,-5.683792860349162e-06,-2.7021945182382483e-06,5.827022159050629e-06,5.730969985414933e-06,5.638034026635407e-06,5.6832783475581335e-06,-7.678839996062999e-06,1.2409901789644021e-05,0.00011431277788506452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
criticalcontext,-0.99999999606748,2.7092668348234518e-06,1.1199884739750563e-06,6.510307128060929e-06,1.0563113519102821e-06,4.327125191155035e-06,-2.1193493426395563e-06,5.82110985032718e-07,4.744403476640177e-07,1.4177882137594965e-06,-7.205170534779613e-07,1.1951413139019857e-06,1.175439464054053e-06,1.156377844987815e-06,4.025006427373707e-07,2.737668484289736e-07,6.139912536861768e-07,-2.437050725682254e-07,8.821460271213001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gyroda,0.9999999862257588,2.182625967214123e-07,-3.996285076210681e-06,-1.112704114430244e-05,3.28113447333732e-06,3.0824175861656665e-06,4.834992726112503e-06,3.6673907061870873e-06,-3.4707677990667945e-06,1.2588098334180814e-06,8.410707549711126e-08,-6.707843650486698e-06,-6.597272057465931e-06,-6.490286805837551e-06,-3.035083051190294e-06,-1.6900116111663e-05,4.546061472432135e-06,-9.495161095645771e-05,-2.7738089501145123e-07,0.0001337007866074014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will592,-0.9999999967258711,4.3924280876777945e-06,5.001471550674865e-07,9.475274034713043e-06,2.4119168275971556e-06,5.252457723753117e-06,-2.374280083571367e-06,2.685727908590678e-06,-2.91953174487812e-07,2.498639608033567e-06,-1.0230919151762656e-06,7.326739428346628e-07,7.205962533493015e-07,7.089106398388205e-07,-3.2358526649618055e-07,9.956253641123982e-07,-7.251235001031493e-07,-3.82211023326812e-06,1.2005606344120795e-06,-1.7321146739044921e-06,7.976886374903913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrunkFishBreatheAir,-0.9999999935700857,-9.864869542738738e-07,3.8629876208323154e-06,4.170509876833353e-06,-1.2464014934836106e-06,1.0036396185084587e-05,-1.1962407697902846e-06,-4.543263694772816e-06,2.7691652097143643e-06,-1.9571683221003325e-06,-9.676729272318017e-08,2.767195742321192e-06,2.7215808881460662e-06,2.6774469564793474e-06,2.564494825940977e-06,-8.46972392238018e-06,7.557226072452224e-06,8.193506053358795e-06,9.24196081160392e-08,-5.233019504575422e-07,-1.4107815318374203e-06,0.00011164055185078619,0.0,0.0,0.0,0.0,0.0,0.0
lasagnaman,-0.9999999909530745,2.4373831962274374e-06,3.093482212730985e-06,8.149447870516953e-06,1.1542887565038637e-06,-1.5817115432195801e-07,-2.4431354281575813e-06,4.922077326330524e-07,2.6459724015925664e-06,1.243985510721304e-06,1.8809278536708935e-06,2.2292985384918525e-06,2.1925499350781864e-06,2.156993425290022e-06,2.4916263986322193e-06,-2.7393581268732862e-06,-6.118874204939446e-07,6.26605761865486e-06,1.7482898709993826e-06,-2.2201433149297588e-06,1.4370293150085054e-06,2.4871160402830594e-06,0.0001338217307195531,0.0,0.0,0.0,0.0,0.0
keeklesandwich,-0.9999999967258715,4.392423971741822e-06,5.001460625984414e-07,9.475272885722784e-06,2.4119118000209757e-06,5.252454399958474e-06,-2.374280460682148e-06,2.6857242495642863e-06,-2.919565466152629e-07,2.4986354299721e-06,-1.023097318313901e-06,7.326732961787354e-07,7.205937699390461e-07,7.089090246150766e-07,-3.2358743794121853e-07,9.956237360539966e-07,-7.251215059484646e-07,-3.822109478540256e-06,1.200555588425829e-06,-1.7321125554276403e-06,2.134351863116201e-06,-9.810574881129565e-07,8.518984737626189e-07,7.972971487555496e-05,0.0,0.0,0.0,0.0
YourFairyGodmother,-0.9999999967258713,4.392426715699137e-06,5.001460446656107e-07,9.475274256669068e-06,2.4119168275971556e-06,5.252457723753117e-06,-2.3742808985364758e-06,2.6857278875800956e-06,-2.919542985302956e-07,2.4986396039290777e-06,-1.0230919189393167e-06,7.32674792787614e-07,7.2059708115272e-07,7.089106263040236e-07,-3.235841573218405e-07,9.956239831995535e-07,-7.251244971804916e-07,-3.822110125024474e-06,1.2005593831030809e-06,-1.7321145657256647e-06,2.1343530959850723e-06,-9.810532573186421e-07,8.519016340739305e-07,2.0570881223182558e-06,7.970317514352697e-05,0.0,0.0,0.0
Indon_Dasani,-0.9999999935700857,-9.864869542738738e-07,3.8629876208323154e-06,4.170509876833353e-06,-1.2464014934836106e-06,1.0036396185084587e-05,-1.1962407697902846e-06,-4.543263694772816e-06,2.7691652097143643e-06,-1.957166933517666e-06,-9.676727438160344e-08,2.7671957291860965e-06,2.7215817159494847e-06,2.677446942944551e-06,2.5644948103064305e-06,-8.469723905191133e-06,7.557226072452224e-06,8.193506053358795e-06,9.24196081160392e-08,-5.233019504575422e-07,-1.4107829236373939e-06,2.7065809390094305e-06,2.0245697535794827e-06,-1.36204190564191e-06,-1.3273376990568976e-06,0.0001115731659810478,0.0,0.0
pikk,-0.9999999909530745,2.4373831962274374e-06,3.093479973994403e-06,8.14944797469128e-06,1.1542887565038637e-06,-1.5817115432195801e-07,-2.443134613192473e-06,4.922077536436344e-07,2.6459724015925664e-06,1.243988287886637e-06,1.8809278903540467e-06,2.2292976845325737e-06,2.192550762881605e-06,2.156995895497427e-06,2.4916263360940294e-06,-2.739358058117134e-06,-6.118884175712869e-07,6.266057726898506e-06,1.748289878238278e-06,-2.2201432041398987e-06,1.4370265298280534e-06,2.4871160651509976e-06,1.6066994530422752e-06,1.4126980311883007e-06,1.3767100556531247e-06,2.432754028884008e-06,0.00013377542714552523,0.0
superH3R01N3,-0.9999999950811562,6.482022926078034e-07,2.327701170217299e-06,4.506933896220781e-06,-1.2785126225445303e-07,7.003223839308986e-06,-1.5689900137602197e-06,-2.095214450073337e-06,1.5108198820459148e-06,-3.551411412413479e-07,-3.255991205463052e-07,1.9264219377314165e-06,1.894664874942371e-06,1.86394070066894e-06,1.3772080610400168e-06,-4.153608637676611e-06,4.39959679331377e-06,4.0821123399759685e-06,4.3762400092537564e-07,1.596534593214751e-08,-1.1361283337634806e-07,1.3214244495120594e-06,1.5272744413251775e-06,-1.1068755223289949e-07,-1.0786479932960854e-07,1.2598190919182105e-06,1.488828572797679e-06,9.838218054689706e-05
