username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
M3rcaptan,-0.5040963231876806,-0.8636474342037924,-6.434709428208729e-06,-3.949834526698467e-06,2.814621857395299e-07,1.9373285616925822e-06,-2.1963567507503576e-06,2.554010545197942e-06,-1.98975710217579e-06,2.3607304032857304e-06,7.912110660174457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loyalt,-0.7987684845819957,-0.6016385113397169,4.116992780560297e-05,2.184769641465283e-05,-4.164526840140069e-05,-7.822155653142677e-07,1.659495815352873e-05,-1.9410208462565758e-06,8.263406880387908e-06,-9.51030439215012e-06,-9.147916133203352e-06,7.268226927957813e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarahmgray,0.4277485778712645,0.9038977463541826,7.978394230244494e-06,8.460603692189993e-06,1.4112663195340807e-05,-5.1314633860304854e-06,4.85164098383028e-06,-7.966099241569176e-06,3.2268538828249167e-06,-5.430248424571042e-06,-7.609105679454867e-05,1.1648814824029893e-05,0.00010886580584173156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poltroon_pomegranate,-0.9977091287419849,-0.06764965673151303,5.1255817042046124e-05,3.0677610502758865e-05,-5.280658474289522e-05,-1.6975561672063126e-06,1.8918903562822007e-05,-3.760711455160949e-06,1.4750320756365856e-05,-1.4357079904644263e-06,-6.546112871500015e-06,5.439119504566541e-06,3.946665510171594e-06,0.00010644065703298157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No311,0.9691877115532397,0.24632330170441047,-3.937847352458128e-05,-2.0923570645227414e-05,2.3124236997452917e-05,1.2036750400307974e-06,-4.4977375933903256e-05,6.272216495517605e-06,-3.7632797337365296e-05,4.050483169158564e-06,2.6871174879526977e-09,-2.071469730081201e-06,1.7978555365125058e-06,-1.7473873186794873e-05,6.692678681103848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sophistry13,0.5632327059363237,-0.826298277928991,-7.586611042452394e-05,-3.635410324221305e-05,5.105269345820618e-05,1.397862408392013e-05,-3.277779736653205e-05,1.9473136347052966e-05,-2.3055291238581115e-05,8.880971077900064e-06,6.364952953080561e-05,-1.4900939154511673e-05,-6.601308787263763e-05,-8.416996157626235e-05,1.0263345927975184e-05,0.00021700509578544524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EttenCO,0.9977091644725707,0.06764908609046852,-5.051230055414771e-05,-3.111482209074487e-05,5.142557674268784e-05,1.8172735418408121e-06,-1.870689870935031e-05,3.6329066826621594e-06,-1.4802273179990264e-05,1.6044027699941713e-06,6.970437878370383e-06,-5.620937418989177e-06,-3.7832895972967242e-06,-0.0001056801006473519,-6.920329106785568e-07,3.0084549512586265e-06,7.90817056133267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MasterGrok,-0.9948016693963381,0.10183130041165983,-1.8734518611132026e-05,-2.0166622990769984e-05,-1.364142470525938e-06,2.558041700480144e-06,-1.657330325877698e-05,-3.187455285659204e-05,-4.674069269298857e-06,9.986831289661673e-06,-1.9802804229957774e-05,-4.1932546082677305e-05,5.6910941325848286e-05,1.8386803760003334e-05,-4.973588949795341e-06,2.328305032687434e-05,-5.17335082047132e-06,0.00012776300285545952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jm0112358,-0.337253493383183,-0.9414138090685834,-6.221587509786695e-05,-2.0397942366660842e-05,-2.5792330384239186e-05,9.035111328511643e-06,-5.929828616363638e-05,3.246819037817122e-05,-3.305662462916359e-05,2.0988719448396572e-05,0.0001250158055124329,-1.4346939310930121e-05,-0.00019731091110247276,-3.959333328028841e-05,1.665559260139084e-05,0.00013682973715820133,-2.7011025680293754e-06,2.58628631431558e-05,0.0001847926711029674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milskidasith,-0.975465538198755,-0.22015214872858238,5.555844823019552e-05,2.7960833209377507e-05,-5.968567485898254e-05,-4.3385683567291696e-07,1.2659487651308088e-05,-1.005122589796483e-05,3.8927758889646714e-06,-6.243299672828485e-06,-1.6991090042370432e-06,9.99241448257767e-06,1.0438150582165925e-07,1.7338460421035632e-07,-1.585809021214012e-07,-1.7467793273224528e-06,1.3261881140249672e-07,-5.084619459682463e-07,-4.079712501965083e-06,8.560075359787717e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
