username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Salanmander,-0.9988304125930061,0.04835080210119153,5.548947542125491e-05,2.179846092692542e-05,-2.026929329269309e-07,-5.837383182574994e-07,-9.232803591272369e-07,-1.262835361923689e-07,-1.4648872827862005e-05,1.0115515027231138e-05,5.424977861324302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awildbadusername,-0.9668201625794216,-0.2554576976890101,-0.00026880272866834084,-0.0001840539166740009,-3.611515489343852e-05,4.5337661336321775e-06,4.266590801353287e-05,2.7541577793827797e-05,3.916377228963415e-05,-1.03147741415009e-06,-2.354574692307246e-06,0.00016231572101692716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Higgs_Bosun,-0.07217388507757186,0.9973911431322602,0.0010680508167826511,0.0006699461595336109,6.735652027733831e-05,-1.589282019742112e-05,-0.00011729104408451673,-8.459088624700817e-05,-0.00019538626504846836,8.204689165361715e-06,1.0436450141241403e-05,-0.00037871304055953867,0.00020217775110947838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jmastersj,0.9977919799585947,-0.06641649414700593,-7.701531675770628e-05,-2.7608024968589225e-05,2.230409941427199e-06,1.3336012257921915e-06,2.803426498012937e-07,-1.8566862283550668e-07,1.9457603077424368e-05,-1.8916069049209272e-05,-3.542432188942734e-05,3.410331134235192e-06,-3.2599781761012096e-06,7.294890923302664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trainwithlino,0.9982466556004653,-0.05919124610485566,-6.853908985777204e-05,-2.4934486507549984e-05,1.4179646619678394e-06,1.0310759206868976e-06,1.713225209596769e-07,2.7951984935998264e-07,1.7559932648919966e-05,-1.5404566145346478e-05,-4.295095947119943e-05,2.0819900398671823e-06,-2.1349434161781793e-06,7.52970352429474e-08,5.6966556785966145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mikkylock,-0.9999999962118392,-3.8057529961021134e-06,-2.6477730518874665e-06,1.0896695017325939e-06,-3.697495227212595e-06,-1.2057281150058921e-06,5.7750117187897575e-09,3.242737971548462e-06,-4.31872335084857e-06,1.4099714860628205e-07,3.254861470251524e-07,-7.486094916927723e-06,6.236037322895915e-06,5.548070071026359e-07,4.015478180037065e-07,8.610356021791703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davidildo,0.9986426050045876,-0.052085912009163245,-3.0742647405333286e-05,-9.223498764350802e-06,1.9412319379854376e-06,7.69951271589492e-07,-1.0649589989322484e-06,9.137082144712523e-08,7.536100885027767e-06,-9.223814392356898e-06,-3.250180827118779e-07,2.9875752542174632e-06,-3.13234476409618e-06,1.3372201731926635e-07,1.6060862996520356e-07,4.040351784148646e-07,6.358629410565741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whizzo76,-0.9999557654203444,0.009405400126143123,-4.724198758223289e-06,1.750005091346155e-05,-1.3729797207513468e-06,-6.325291159675068e-07,-4.48343861513588e-06,5.1978138382631105e-06,-1.1162689525347612e-05,1.5335190570800287e-06,4.601329521045076e-07,-2.837397302069961e-06,2.3543735330932053e-06,-5.906868788355736e-07,-4.6781298335211453e-07,1.9090255794551735e-06,-5.597003957808196e-07,7.160878805586804e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iamwaitingtocompile,-0.9939998639732711,0.10938119239554013,0.00013070405723059663,6.72244642309476e-05,-1.9359169014511507e-06,-1.7988544416315704e-05,5.354245795468128e-07,3.3831521911922705e-06,-1.007796505341062e-06,5.83831121285286e-07,8.967913089386143e-08,-1.4061611335823107e-06,1.5040511215482181e-06,2.579284707063446e-07,1.0134055260952667e-07,-3.5591280443950864e-07,7.757130518352215e-08,1.9990694751250828e-07,5.677717701593183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madwill,0.9988124694696355,-0.04872008630202229,-2.4740554650345682e-05,-7.230821996391956e-06,1.613798521304282e-06,6.147096276557407e-07,-1.1846359133971223e-06,4.235552956957836e-07,6.135600699140261e-06,-7.365839887069665e-06,-3.280204386047825e-07,2.5634064545995577e-06,-2.7188977482373414e-06,1.4318706899793944e-07,1.4427313650396346e-07,3.370851574065765e-07,3.1058733727511403e-07,-4.28452974724919e-07,1.3784483833432653e-08,5.698543385604633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
