username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
tomgabriele,-0.9999999797187172,4.375463419228597e-06,7.343919256692053e-06,-3.1085673721834364e-06,-8.250804182446821e-06,-3.0551493024594155e-06,-1.616163766823916e-06,8.801951512478854e-06,0.00015104697061290402,-8.128013181446362e-05,0.00010440632655397339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neofederalist,-0.9999999916854879,5.4010375485091954e-06,2.7000903175591318e-05,-1.7767838920777364e-05,-3.9887826822045996e-05,-1.596172649542227e-06,-2.520219962767345e-06,4.667878251972563e-06,1.43875951897175e-06,-9.326411600176982e-07,9.288632753131163e-07,0.00011802363530525525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loyalt,0.9999999830997026,-1.0882649714450143e-05,-1.8971677792754287e-05,1.1045360201437555e-05,3.472816095848703e-05,4.636672027586418e-06,1.2024478543096263e-05,-2.9932006283078415e-05,-5.2352401176067e-06,3.814942624040173e-06,-2.5451542719622667e-06,-2.4441319926450585e-05,0.00017402977802439537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kcbh711,-0.9999999901835237,3.6175511628571397e-06,1.3960997885283733e-05,-1.9735430849670938e-06,-2.6819267093337305e-06,-1.6836158763598425e-05,-1.317321200137391e-06,2.781915262128284e-06,1.8125569839935357e-06,-8.68732342817485e-07,5.974087809063861e-07,1.5012644183640967e-06,-2.5115697231476143e-06,0.00013823161582894423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoselusciouslips,-0.999999968371678,8.336378786083794e-06,6.736500947965899e-05,-3.455160116772332e-06,-2.301707358423071e-05,-8.851813616168288e-05,-2.133437585793676e-06,1.234175560989101e-05,1.7684404750893802e-06,-3.551656943682108e-07,4.9878007689142244e-08,2.521975729079679e-06,-1.2571458641721116e-05,2.11234977246616e-06,0.00022347914640030164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gammapod,0.999999969555496,-5.673831792247267e-06,-1.8362544336696592e-05,3.5798969813578826e-06,1.7810874809016162e-05,1.624901339319024e-05,4.525965385433828e-06,-1.5240008228112395e-05,-1.976546321759697e-06,4.917255065270285e-07,-1.4608148525222297e-07,-3.852303154109082e-06,1.2970500852397761e-05,-0.0001007840686074314,1.0762549615549433e-06,0.0002220967931463788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The_Josh_Of_Clubs,-0.9999999928220711,6.498000710088065e-06,2.5138410684832264e-05,-6.990535945428473e-06,-7.95322683626918e-05,-5.958346095799472e-06,-4.439025770411973e-06,1.9043784452829226e-05,5.197592869869687e-07,-9.284009251117302e-07,6.648269823211211e-07,-2.009664956511134e-07,-6.210301298825068e-06,-2.0488466088048613e-07,2.8250197912699383e-06,-2.499909003718792e-06,8.267477239756007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggsalad,0.9999999837387983,-1.1882244786332272e-05,-3.0629614846358025e-05,9.056983002587504e-06,6.826219538896476e-05,9.670298672208133e-06,6.4149787075751594e-06,-3.2335191933175456e-05,-3.944848221252588e-06,2.931011584843661e-06,-2.8650246042745217e-06,-4.637917704470439e-06,4.709261013092679e-06,-3.905346851113962e-06,-3.981402126827705e-06,3.824474899089728e-06,-5.996683360060101e-05,0.0001476592551440676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jm0112358,0.9999999928088428,-1.11042500148664e-05,-1.920876662679207e-05,8.245137547367559e-06,3.4063234489067685e-05,6.700831482467767e-06,1.8656867021596078e-05,-4.675765228440464e-05,-4.328152875004199e-06,4.5688038091231865e-06,-4.1613143931372645e-06,-5.732990844029508e-06,3.361430679459405e-05,-1.8527497599209112e-06,-8.598515352182734e-06,8.981283463980735e-06,-1.0966911487127505e-05,4.871860944350622e-06,9.252425833825848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jm0112358_work,0.9999999882736891,-9.007490479340472e-06,-2.3698058982361115e-05,7.161261739291312e-06,5.48585052052335e-05,7.151394337476612e-06,1.3512721427900541e-05,-5.954020788067052e-05,-1.765072354175943e-06,1.5193351413405895e-06,-1.4905523547093663e-06,-2.4451182661768496e-06,2.4916376123472857e-06,-1.7417950361002269e-06,-1.9671479481003116e-06,1.8262834368911234e-06,-3.305645984800754e-05,5.441909599792018e-06,4.70509312692966e-06,0.00012163808754977418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
getlough,0.9999999692980873,-1.1745528520280413e-05,-2.433104746679092e-05,8.137558307462241e-06,4.063914908697376e-05,9.33002687621089e-06,1.5212002563053097e-05,-8.162280115499505e-05,-3.654962257009309e-06,1.6393885529364027e-06,-1.2765174307778936e-06,-4.635183268821737e-06,8.23744685491099e-06,-4.552599904980525e-06,-1.8008705863789077e-06,8.254680445201018e-07,-2.6736670732046895e-06,7.383272469343976e-06,1.4389591318853148e-05,3.613354479135917e-06,0.00022707251314626057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dangerxmouse,0.9999999693676139,-1.753631903045495e-05,-3.9522958434518665e-05,1.1502747946950527e-05,6.422499916534484e-05,1.5681162143869665e-05,1.3115934453039448e-06,-2.3590588470541437e-05,-8.00301002507517e-06,4.877457132067918e-06,-4.857816382195132e-06,-1.0425043468095244e-05,5.22153552675209e-06,-9.158905464063268e-06,-6.740814775732783e-06,6.238536503305451e-06,-5.54775550585436e-05,1.6157891484506432e-05,1.3213907879340767e-05,1.2852880803024058e-05,8.061036107200578e-06,0.0002239969635264686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polysyndetonic,-0.9999999925175256,4.3066203312280684e-06,3.56043061789943e-05,-1.8477023688041316e-06,-5.920140415351879e-06,-4.772844083910238e-05,-2.269751549822764e-06,4.169709475075265e-06,1.2403668600361214e-06,-7.039661561660575e-07,6.042109817225324e-07,1.1295160883877366e-06,-3.8691076148280796e-06,8.798306107679594e-07,1.2376713592835561e-06,-1.308828290128482e-06,2.2975396900443686e-07,-1.5135969989876543e-06,-4.696641394433552e-06,-6.711691133494734e-07,-1.160837433101295e-06,-2.0063477161843318e-06,0.00010623954715379976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DayMorrow,0.9999999696488071,-7.464469669440096e-06,-3.460847517158134e-05,4.045353335214039e-06,2.0139445570416712e-05,3.951704482885724e-05,3.4862446457934118e-06,-1.5307111156998988e-05,-2.521807839341408e-06,9.400791960165315e-07,-5.448949268744134e-07,-3.7343277715751523e-06,1.44663813982712e-05,-2.9109144393129096e-06,-7.714707699494858e-08,6.162741953966289e-10,-6.797289405469329e-06,5.276640266737881e-06,2.2741455140057568e-05,1.8393962934145611e-06,1.520612918314402e-06,6.016753997815913e-06,-8.037359616390935e-05,0.00022335314415895097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
