username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Reason-and-rhyme,0.9999999897841385,-8.447339495333153e-07,1.1959423586130716e-06,-1.5698190498966974e-07,-1.9336710191723304e-07,-2.8973265652873013e-07,4.562569493647574e-08,-3.1770333556797382e-06,-0.00011214481369069372,1.0113308532319856e-07,7.866578628370959e-08,7.863056859427787e-08,9.139041554946325e-08,7.851453441859181e-08,8.85598157147465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACrusaderA,-0.9999999928654443,-2.5065868781561792e-06,4.987788420390913e-06,-9.088694154540853e-07,-1.1112912066743252e-06,-1.5546500881920888e-06,3.954234845117862e-07,-7.211697760911474e-05,-2.1255095487359069e-07,5.664965215757473e-08,6.434298436138703e-08,6.431417950202362e-08,6.033271795244812e-08,6.423142529877702e-08,6.021482062669033e-08,9.503888556169847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mostlyrelevant,0.9999999773740862,1.8342979826823696e-06,-3.874493130423989e-06,7.443454999142026e-07,9.11345761608467e-07,1.280074807251417e-06,-3.543486785557446e-07,7.021961324395499e-05,-2.423631319081478e-07,1.0450815178035351e-07,6.637187104967594e-08,6.634215668434031e-08,8.34260354399195e-08,6.624061796606453e-08,8.328003947186143e-08,-9.467979059332151e-05,0.00017701736759446085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joijoijawer,0.9999999489630216,9.79488534646365e-06,-1.8984078223188062e-05,3.441289948492078e-06,4.220278086271797e-06,5.926755998676624e-06,-1.5085186253762194e-06,0.00028731202209421184,6.355268200934505e-07,-2.2187511603990602e-07,-2.229404554162272e-07,-2.2284064947545548e-07,-2.1112063540497815e-07,-2.225506809822193e-07,-2.1070690893494146e-07,-5.0067268663023943e-05,-3.0871782595794807e-07,0.00012843227066753775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5iMbA,-0.9999999935582371,-1.1561043462614329e-07,2.1551766719229807e-07,-2.2391382331637233e-08,-3.11489027072559e-08,-6.619140237800456e-08,2.4128909447560306e-08,-1.4762281746704699e-06,-7.051414038985901e-08,-5.339147529506685e-09,1.1193674572625486e-07,1.1188663699784737e-07,4.890828918835679e-08,1.1178981297708905e-07,4.8762514285212764e-08,1.7784838840235878e-07,1.512866199576974e-07,-1.677849266225746e-07,0.00011349515563408517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RiPont,0.9999999871363795,3.570653225476491e-08,-1.2156302039207414e-07,3.4324022726936548e-09,8.30873919594457e-09,4.1503650019797694e-08,-2.4435508661536275e-08,1.9904234560396653e-06,4.5156155431181484e-08,4.249278647222739e-08,-1.452561041986549e-07,-1.451910809289066e-07,-4.384483392903879e-08,-1.4508774596336888e-07,-4.3673505023659254e-08,-2.5181651831479816e-07,-2.0085337572502888e-07,1.9608643270559907e-07,-0.0001295171423461159,9.45957579609006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xXSJADOo,-0.9999999889554939,3.33376025579451e-07,-4.046868252996128e-07,6.461223956970988e-08,7.868379566270521e-08,1.0080058784156542e-07,-7.860350514704404e-09,-1.542448767128556e-08,1.9191167918035232e-07,-1.0751869660803148e-07,2.4593052974937974e-09,2.4582072293661284e-09,-5.4089586684460104e-08,2.50242725207647e-09,-5.4037290534468945e-08,4.672973939753545e-08,-3.167402774709889e-09,1.0230962372826797e-07,6.461758651747202e-05,-4.725147296760493e-05,0.00012522186344988935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
severed-identity,0.9999999811436099,-6.70524073688073e-07,1.0092657861985335e-06,-1.5948072287230433e-07,-1.9329703462469678e-07,-2.5333802849874905e-07,3.2245845072669944e-08,-7.616967059695912e-07,-4.1956587208703565e-07,1.9295018821742373e-07,4.975477714581385e-08,4.973338585009205e-08,1.2250201970160357e-07,4.960399800980555e-08,1.2233173812522351e-07,4.3237037645078303e-08,8.782703612163555e-08,-2.9124430609495664e-07,-6.438822677146437e-05,4.713353162322263e-05,-0.00012520680530635705,0.00012516429512923597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathewdm423,0.9999999857484281,-2.5359006654016663e-07,2.935228296171062e-07,-5.105308085451778e-08,-6.10765058977723e-08,-6.834671314425613e-08,-2.096597135951811e-09,7.581565765401247e-07,-1.3523069803326618e-07,1.0119516858933294e-07,-4.756116151404354e-08,-4.7539873277081335e-08,3.1427521637990316e-08,-4.7545105157589114e-08,3.143852443456253e-08,-1.2380769999106887e-07,-6.33411067357845e-08,-6.881874248606565e-09,-0.00011326030427407952,-4.501783066910607e-08,-6.1955320198484e-08,1.2775034365770925e-08,0.00012519763689335393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijh,0.9999999883472565,-1.9067433218599514e-07,1.8611899755864757e-07,-3.2467682051306646e-08,-3.86194951760263e-08,-3.908901256806966e-08,-6.627448923884433e-09,7.327570214617523e-07,-9.693911041653526e-08,8.169747125780793e-08,-4.714797300279578e-08,-4.712686921456546e-08,2.055469483331961e-08,-4.712224709580612e-08,2.0572772098217912e-08,-1.1833296860420588e-07,-6.342331912463591e-08,8.683481906061775e-09,-0.00011334662266126498,-1.6175731295879982e-09,-6.20862003181581e-08,3.011590586889533e-08,6.24214136501315e-08,0.00010226127275458673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neofederalist,-0.9999999960622289,5.588587894180276e-07,-6.327009699105097e-07,6.572236440248618e-08,8.600538426886688e-08,1.3910284078611767e-07,-1.4419816575576161e-08,2.1247874180538555e-06,3.4957184976653534e-07,-1.3601677580357155e-07,-1.7494953709109223e-07,-1.7487210343804707e-07,-1.4494219032348824e-07,-1.746683505756428e-07,-1.4463538642892027e-07,-1.778045070480844e-07,-2.4610665088013864e-07,3.792461503893039e-07,-1.5794691214856674e-08,-9.42158441237612e-08,1.8259980047745532e-07,-1.7988061882008244e-07,-2.01920217132854e-07,-1.9855608924769075e-07,8.871086906550425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinewood74,-0.9999999947362328,8.065873969677987e-07,-9.91640631859525e-07,1.1731176194759939e-07,1.5029877712903147e-07,2.3468464898432326e-07,-3.308121992268816e-08,3.101239233701772e-06,5.072617413852532e-07,-1.8987121545485305e-07,-2.4125451609749433e-07,-2.411465126522061e-07,-2.020329931235233e-07,-2.4086140358799085e-07,-2.0160989531641215e-07,-2.706720354494534e-07,-3.4359850164316683e-07,5.488928935074801e-07,-5.8375046945706945e-08,-1.1219813289498698e-07,2.5417185779774555e-07,-2.4684271186853307e-07,-2.7498026075670507e-07,-2.745463958887082e-07,5.48730895788661e-07,0.00010254050306728552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
